ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
CYAG,medium_airport,Fort Frances Municipal Airport,1125,NA,CA,CA-ON,Fort Frances,CYAG,YAG,,"-93.439697265625, 48.65420150756836"
CYAH,medium_airport,La Grande-4 Airport,1005,NA,CA,CA-QC,La Grande-4,CYAH,YAH,,"-73.6753005981, 53.754699707"
CYAL,medium_airport,Alert Bay Airport,240,NA,CA,CA-BC,Alert Bay,CYAL,YAL,,"-126.91600036621094, 50.58219909667969"
CYAM,medium_airport,Sault Ste Marie Airport,630,NA,CA,CA-ON,Sault Ste Marie,CYAM,YAM,,"-84.509399, 46.485001"
CYAQ,medium_airport,Kasabonika Airport,672,NA,CA,CA-ON,Kasabonika,CYAQ,XKS,,"-88.6427993774414, 53.52470016479492"
CYAS,medium_airport,Kangirsuk Airport,403,NA,CA,CA-QC,Kangirsuk,CYAS,YKG,,"-69.99919891357422, 60.027198791503906"
CYAT,medium_airport,Attawapiskat Airport,31,NA,CA,CA-ON,Attawapiskat,CYAT,YAT,,"-82.43190002441406, 52.9275016784668"
CYAU,medium_airport,Liverpool South Shore Regional Airport,321,NA,CA,CA-NS,Liverpool,CYAU,,YAU,"-64.85610198970001, 44.2303009033"
CYAV,medium_airport,Winnipeg / St. Andrews Airport,760,NA,CA,CA-MB,Winnipeg,CYAV,,,"-97.032501, 50.0564"
CYAW,heliport,Halifax / CFB Shearwater Heliport,144,NA,CA,CA-NS,Halifax,CYAW,,YAW,"-63.499401, 44.639702"
CYAX,medium_airport,Lac Du Bonnet Airport,850,NA,CA,CA-MB,Lac Du Bonnet,CYAX,,,"-96.010002, 50.294399"
CYAY,medium_airport,St. Anthony Airport,108,NA,CA,CA-NL,St. Anthony,CYAY,YAY,,"-56.083099365200006, 51.3918991089"
CYAZ,medium_airport,Tofino / Long Beach Airport,80,NA,CA,CA-BC,Tofino,CYAZ,YAZ,,"-125.775583, 49.079833"
CYB3,heliport,Nelson/Baylock Estate Heliport,1830,NA,CA,CA-BC,,CYB3,,CYB3,"-117.2605555, 49.54472222"
